# Copyright (c) 2011 Walter Bender y Pacita Pena,,,,,,
# This work is licensed under a Creative Commons,,,,,,
# Attribution-NonCommercial 3.0 Unported License.,,,,,,
# These words represent Nivel 1 in Spanish,,,,,,
# Use () for highlighted letter in phrase.,,,,,,
# letter, phrase, RGB color, color name, vowel or consonant , sound file,
A, (a)ve, #FFFFFF, ave.png, ave.ogg, a.ogg,                Mimi y Pepe tom(a)n m(a)te en l(a) s(a)l(a)./M(a)m(a) (a)m(a)s(a) l(a) m(a)s(a) en c(a)s(a)./T(a)t(a) s(a)lt(a) solo en el sol./Lupe lee sol(a) en l(a) s(a)l(a)./Sol us(a) l(a) p(a)l(a) de p(a)p(a)./El oso de mi(a) es Lil(a)./Pepe us(a) l(a) lim(a) y l(a) pil(a)./Odi p(a)se(a) (a) su oso Lil(a)./Lul(a) y Lil(a) son (a)mig(a)s de teo./L(a) sop(a) est(a) s(a)l(a)d(a)./Yol(a)nd(a) us(a) el yoyo./Yumi p(a)se(a) en el y(a)te./Kik(a) come kiwi./El kiwi pes(a) un kilo./Arre (a)rre... dijo el hombre (a)l burro./El f(a)nt(a)sm(a) est(a) en l(a) fuente./El f(a)nt(a)sm(a) (a)susto (a) Fidel./Alex toc(a) el xilofono./Ñ(a)t(a) como piñ(a)s (a) l(a) m(a)ñ(a)n(a)./Enrique quiere el p(a)quete de queso que se vende en l(a) esquin(a)./V(a)nes(a) v(a) con veinte vel(a)s y el v(a)so v(a)cio./Llor(a) el niño porque dejo l(a) ll(a)ve en el bolsillo./El z(a)p(a)tero tiene z(a)p(a)till(a)s (a)zules./R(a)ul vi(a)jo (a) Rom(a) con Ros(a)./Julio y J(a)ime jueg(a)n con el conejo.
B, (b)urro, #2080A0, burro.png, burro.ogg, b.ogg,                Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Kika come kiwi./El kiwi pesa un kilo./Arre arre... dijo el hom(b)re al (b)urro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como piñas a la mañana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el niño porque dejo la llave en el (b)olsillo./El zapatero tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo.               
C, (c)onejo, #FFC040, conejo.png, conejo.ogg, c.ogg,                Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Kika come kiwi./El kiwi pesa un kilo./Arre arre... dijo el hom(b)re al (b)urro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como piñas a la mañana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el niño porque dejo la llave en el (b)olsillo./El zapatero tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo.      
D, (d)a(d)o, #20C060, dado.png, dado.ogg, d.ogg,                Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala (d)e papa./El oso (d)e mia es Lila./Pepe usa la lima y la pila./O(d)i pasea a su oso Lila./Lula y Lila son amigas (d)e teo./La sopa esta sala(d)a./Yolan(d)a usa el yoyo./Yumi pasea en el yate./Kika come kiwi./El kiwi pesa un kilo./Arre arre... (d)ijo el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fi(d)el./Alex toca el xilofono./Ñata como piñas a la mañana./Enrique quiere el paquete (d)e queso que se ven(d)e en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el niño porque (d)ejo la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo.     
E, (e)l(e)fant(e), #70A9CE, elefante.png, elefante.ogg, e.ogg,         Mimi y P(e)p(e) toman mat(e) (e)n la sala./Mama amasa la masa (e)n casa./Tata salta solo (e)n (e)l sol./Lup(e) l(e)(e) sola (e)n la sala./Sol usa la pala d(e) papa./El oso d(e) mia (e)s Lila./P(e)p(e) usa la lima y la pila./Odi pas(e)a a su oso Lila./Lula y Lila son amigas d(e) t(e)o./La sopa (e)sta salada./Yolanda usa (e)l yoyo./Yumi pas(e)a (e)n (e)l yat(e)./Kika com(e) kiwi./El kiwi p(e)sa un kilo./Arr(e) arr(e)... dijo (e)l hombr(e) al burro./El fantasma (e)sta (e)n la fu(e)nt(e)./El fantasma asusto a Fid(e)l./Al(e)x toca (e)l xilofono./Ñata como piñas a la mañana./Enriqu(e) qui(e)r(e) (e)l paqu(e)t(e) d(e) qu(e)so qu(e) s(e) v(e)nd(e) (e)n la (e)squina./Van(e)sa va con v(e)int(e) v(e)las y (e)l vaso vacio./Llora (e)l niño porqu(e) d(e)jo la llav(e) (e)n (e)l bolsillo./El zapat(e)ro ti(e)n(e) zapatillas azul(e)s./Raul viajo a Roma con Rosa./Julio y Jaim(e) ju(e)gan con (e)l con(e)jo.   
F, (f)lor, #C160D2, flor.png, flor.ogg, f.ogg,         Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Kika come kiwi./El kiwi pesa un kilo./Arre arre... dijo el hombre al burro./El (f)antasma esta en la (f)uente./El (f)antasma asusto a Fidel./Alex toca el xilo(f)ono./Ñata como piñas a la mañana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el niño porque dejo la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo. 
G, (g)ato, #A0A0A0, gato.png, gato.ogg, g.ogg,         Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son ami(g)as de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Kika come kiwi./El kiwi pesa un kilo./Arre arre... dijo el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como piñas a la mañana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el niño porque dejo la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio y Jaime jue(g)an con el conejo.
H, (h)elado, #FFFFFF, helado.png, helado.ogg, h.ogg,         Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Kika come kiwi./El kiwi pesa un kilo./Arre arre... dijo el (h)ombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como piñas a la mañana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el niño porque dejo la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo.
I, (i)gles(i)a, #DE1C23, iglesia.png, iglesia.ogg, i.ogg,  M(i)m(i) y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de m(i)a es L(i)la./Pepe usa la l(i)ma y la p(i)la./Od(i) pasea a su oso L(i)la./Lula y L(i)la son am(i)gas de teo./La sopa esta salada./Yolanda usa el yoyo./Yum(i) pasea en el yate./K(i)ka come k(i)w(i)./El k(i)w(i) pesa un k(i)lo./Arre arre... d(i)jo el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a F(i)del./Alex toca el x(i)lofono./Ñata como p(i)ñas a la mañana./Enr(i)que qu(i)ere el paquete de queso que se vende en la esqu(i)na./Vanesa va con ve(i)nte velas y el vaso vac(i)o./Llora el n(i)ño porque dejo la llave en el bols(i)llo./El zapatero t(i)ene zapat(i)llas azules./Raul v(i)ajo a Roma con Rosa./Jul(i)o y Ja(i)me juegan con el conejo.
J, (j)irafa, #C93C7E, jirafa.png, jirafa.ogg, j.ogg,  Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Kika come kiwi./El kiwi pesa un kilo./Arre arre... di(j)o el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como piñas a la mañana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el niño porque de(j)o la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul via(j)o a Roma con Rosa./Julio y Jaime (j)uegan con el cone(j)o.
K, (k)ilo, #FFC040, kilo.png, kilo.ogg, k.ogg,  Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Ki(k)a come (k)iwi./El (k)iwi pesa un (k)ilo./Arre arre... dijo el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como piñas a la mañana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el niño porque dejo la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo.
L, (l)oro, #00A0FF, loro.png, loro.ogg, l.ogg,  Mimi y Pepe toman mate en (l)a sa(l)a./Mama amasa (l)a masa en casa./Tata sa(l)ta so(l)o en e(l) so(l)./Lupe (l)ee so(l)a en (l)a sa(l)a./So(l) usa (l)a pa(l)a de papa./E(l) oso de mia es Li(l)a./Pepe usa (l)a (l)ima y (l)a pi(l)a./Odi pasea a su oso Li(l)a./Lu(l)a y Li(l)a son amigas de teo./La sopa esta sa(l)ada./Yo(l)anda usa e(l) yoyo./Yumi pasea en e(l) yate./Kika come kiwi./E(l) kiwi pesa un ki(l)o./Arre arre... dijo e(l) hombre a(l) burro./E(l) fantasma esta en (l)a fuente./E(l) fantasma asusto a Fide(l)./A(l)ex toca e(l) xi(l)ofono./Ñata como piñas a (l)a mañana./Enrique quiere e(l) paquete de queso que se vende en (l)a esquina./Vanesa va con veinte ve(l)as y e(l) vaso vacio./L(l)ora e(l) niño porque dejo (l)a (l)(l)ave en e(l) bo(l)si(l)(l)o./E(l) zapatero tiene zapati(l)(l)as azu(l)es./Rau(l) viajo a Roma con Rosa./Ju(l)io y Jaime juegan con e(l) conejo.
M, (m)esa, #C72020, mesa.png, mesa.ogg, m.ogg, (M)i(m)i y Pepe to(m)an (m)ate en la sala./(M)a(m)a a(m)asa la (m)asa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de (m)ia es Lila./Pepe usa la li(m)a y la pila./Odi pasea a su oso Lila./Lula y Lila son a(m)igas de teo./La sopa esta salada./Yolanda usa el yoyo./Yu(m)i pasea en el yate./Kika co(m)e kiwi./El kiwi pesa un kilo./Arre arre... dijo el ho(m)bre al burro./El fantas(m)a esta en la fuente./El fantas(m)a asusto a Fidel./Alex toca el xilofono./Ñata co(m)o piñas a la (m)añana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el niño porque dejo la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul viajo a Ro(m)a con Rosa./Julio y Jai(m)e juegan con el conejo.
N, (n)ube, #7A6BBD, nube.png, nube.ogg, n.ogg, Mimi y Pepe toma(n) mate e(n) la sala./Mama amasa la masa e(n) casa./Tata salta solo e(n) el sol./Lupe lee sola e(n) la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila so(n) amigas de teo./La sopa esta salada./Yola(n)da usa el yoyo./Yumi pasea e(n) el yate./Kika come kiwi./El kiwi pesa u(n) kilo./Arre arre... dijo el hombre al burro./El fa(n)tasma esta e(n) la fue(n)te./El fa(n)tasma asusto a Fidel./Alex toca el xilofo(n)o./Ñata como piñas a la maña(n)a./E(n)rique quiere el paquete de queso que se ve(n)de e(n) la esqui(n)a./Va(n)esa va co(n) vei(n)te velas y el vaso vacio./Llora el (n)iño porque dejo la llave e(n) el bolsillo./El zapatero tie(n)e zapatillas azules./Raul viajo a Roma co(n) Rosa./Julio y Jaime juega(n) co(n) el co(n)ejo.
Ñ, (ñ)andú, #80C040/#C93C7E, nandu.png, nandu.ogg, ny.ogg, Mimi y Pepe toman mate en la sala./Mama amasa la masa en casa./Tata salta solo en el sol./Lupe lee sola en la sala./Sol usa la pala de papa./El oso de mia es Lila./Pepe usa la lima y la pila./Odi pasea a su oso Lila./Lula y Lila son amigas de teo./La sopa esta salada./Yolanda usa el yoyo./Yumi pasea en el yate./Kika come kiwi./El kiwi pesa un kilo./Arre arre... dijo el hombre al burro./El fantasma esta en la fuente./El fantasma asusto a Fidel./Alex toca el xilofono./Ñata como pi(ñ)as a la ma(ñ)ana./Enrique quiere el paquete de queso que se vende en la esquina./Vanesa va con veinte velas y el vaso vacio./Llora el ni(ñ)o porque dejo la llave en el bolsillo./El zapatero tiene zapatillas azules./Raul viajo a Roma con Rosa./Julio y Jaime juegan con el conejo.
